File_Size_Bytes,Attributes,CPU_State,Memory_State,Network,Avail_CPU_%,Avail_Memory_%,Full_Execution_Time_s,Partial_RP1_Time_s,Transmission_Time_s,Partial_RP2_Time_s,Partial_Total_Time_s,Offload_Decision
1,2,Idle,Idle,LAN,71.00969021,51.97172656,0.089604378,0.019864798,0.0100336,0.006901741,0.036800139,0
1,2,Idle,Idle,WLAN,77.74712683,78.80062123,0.026646852,0.019685507,0.050067,0.006596565,0.076349072,0
1,2,Idle,Medium,LAN,61.55522618,32.80731551,0.026535511,0.019692659,0.0100337,0.006572247,0.036298606,0
1,2,Idle,Medium,WLAN,73.635394,30.88652161,0.026238203,0.0195117,0.050067,0.006864548,0.076443247,0
1,2,Idle,Critical,LAN,55.48933774,11.78472389,0.027079821,0.019656658,0.0100336,0.007026672,0.036716931,0
1,2,Idle,Critical,WLAN,77.7754909,13.58844951,0.026596546,0.019554377,0.0500668,0.006999493,0.076620669,0
1,2,Medium,Idle,LAN,41.89877875,54.86138852,0.027303219,0.019579411,0.0100335,0.006717443,0.036330354,0
1,2,Medium,Idle,WLAN,24.82557638,73.74911917,0.026318073,0.019632578,0.0500672,0.00686574,0.076565518,0
1,2,Medium,Medium,LAN,21.41207145,23.52796834,0.027444839,0.019568443,0.0100336,0.007064581,0.036666624,0
1,2,Medium,Medium,WLAN,40.26234458,24.95333622,0.026737928,0.019697666,0.050067,0.006701946,0.076466612,0
1,2,Medium,Critical,LAN,41.69777077,9.007951923,0.02635932,0.019564152,0.0100336,0.006531715,0.036129467,0
1,2,Medium,Critical,WLAN,34.67779687,7.783011748,0.026206732,0.019572973,0.050067,0.006796122,0.076436095,0
1,2,Critical,Idle,LAN,11.1941815,66.18500072,0.026302338,0.019395828,0.0100335,0.006781578,0.036210906,0
1,2,Critical,Idle,WLAN,5.202912389,73.74787909,0.026384115,0.019466639,0.050067,0.006743193,0.076276831,0
1,2,Critical,Medium,LAN,19.26587202,29.15580195,0.026248455,0.019533157,0.0100335,0.006581783,0.036148441,0
1,2,Critical,Medium,WLAN,16.05995197,25.58229596,0.026349783,0.019427061,0.0500674,0.006781578,0.076276039,0
1,2,Critical,Critical,LAN,7.330528686,8.457401884,0.027386427,0.019445181,0.0100334,0.006859064,0.036337645,0
1,2,Critical,Critical,WLAN,3.021531091,7.482037886,0.026270151,0.01926589,0.0500666,0.006660938,0.075993428,0
1,3,Idle,Idle,LAN,78.21004261,68.10563552,0.032509327,0.019689083,0.0100336,0.013746262,0.043468945,0
1,3,Idle,Idle,WLAN,52.06910178,62.85728995,0.032384396,0.019512177,0.0500674,0.013638496,0.083218073,0
1,3,Idle,Medium,LAN,58.86366395,42.78123733,0.032411575,0.019261122,0.0100333,0.013474464,0.042768886,0
1,3,Idle,Medium,WLAN,70.42983394,23.4227163,0.032420874,0.019495964,0.0500672,0.013549566,0.08311273,0
1,3,Idle,Critical,LAN,64.54527551,10.65451493,0.032248735,0.019420147,0.0100335,0.013531208,0.042984855,0
1,3,Idle,Critical,WLAN,57.23824678,12.03746266,0.032527447,0.019312382,0.050067,0.013506174,0.082885556,0
1,3,Medium,Idle,LAN,37.16162272,55.08911687,0.032443285,0.019340992,0.0100335,0.013382435,0.042756927,0
1,3,Medium,Idle,WLAN,33.08894673,63.38101163,0.032443047,0.01934576,0.050067,0.013421297,0.082834057,0
1,3,Medium,Medium,LAN,22.42025318,42.84582777,0.032241106,0.019452572,0.0100336,0.013396025,0.042882197,0
1,3,Medium,Medium,WLAN,22.71377585,31.72015448,0.032485485,0.019644976,0.0500672,0.013471365,0.083183541,0
1,3,Medium,Critical,LAN,29.99393604,0.336846815,0.03241539,0.019527912,0.0100336,0.013554335,0.043115847,0
1,3,Medium,Critical,WLAN,43.51213462,8.325845437,0.032456636,0.019505978,0.0500674,0.013565779,0.083139156,0
1,3,Critical,Idle,LAN,14.49520798,67.69952774,0.032565594,0.019444227,0.0100335,0.013306618,0.042784345,0
1,3,Critical,Idle,WLAN,3.188819329,68.70300936,0.032299757,0.019637346,0.0500672,0.013360262,0.083064808,0
1,3,Critical,Medium,LAN,15.09354071,37.45605748,0.032239914,0.019509554,0.0100336,0.013323069,0.042866223,0
1,3,Critical,Medium,WLAN,3.557986423,44.22206741,0.03246069,0.019356728,0.0500668,0.013383865,0.082807393,0
1,3,Critical,Critical,LAN,11.16087082,2.72592788,0.03256464,0.019553185,0.0100336,0.013525724,0.043112509,0
1,3,Critical,Critical,WLAN,1.982287257,19.07231524,0.032488823,0.019445896,0.050067,0.013330936,0.082843833,0
1,4,Idle,Idle,LAN,70.15798066,61.54348188,0.038542509,0.019423008,0.0100334,0.020838499,0.050294907,0
1,4,Idle,Idle,WLAN,78.51788017,55.43076773,0.038504601,0.019457102,0.0500672,0.020668268,0.09019257,0
1,4,Idle,Medium,LAN,60.32966195,48.79403298,0.038489819,0.019632339,0.0100337,0.020844936,0.050510976,0
1,4,Idle,Medium,WLAN,75.75807387,30.98229321,0.038404226,0.019451857,0.050067,0.02073431,0.090253167,0
1,4,Idle,Critical,LAN,63.49256391,2.664576295,0.03902936,0.019551039,0.0100335,0.020695925,0.050280464,0
1,4,Idle,Critical,WLAN,56.30546586,19.67274992,0.038705587,0.019557238,0.050067,0.020516872,0.09014111,0
1,4,Medium,Idle,LAN,25.49009413,65.14021579,0.038621426,0.0195539,0.0100335,0.020343065,0.049930465,0
1,4,Medium,Idle,WLAN,40.90660245,79.54470913,0.038512468,0.019405603,0.050067,0.0203197,0.089792304,0
1,4,Medium,Medium,LAN,28.04037316,25.06522853,0.038446188,0.019367456,0.0100336,0.020389795,0.049790852,0
1,4,Medium,Medium,WLAN,39.68722086,45.54387356,0.038459778,0.019427061,0.050067,0.020181417,0.089675479,0
1,4,Medium,Critical,LAN,42.37713832,4.004593428,0.038448095,0.019561768,0.0100332,0.02016139,0.049756358,0
1,4,Medium,Critical,WLAN,41.46497222,15.07716854,0.03813839,0.019471169,0.0500672,0.020321846,0.089860215,0
